Aagheim 	Aamodt 	Aas
Aasen 	Aasgaard 	Abel
Abrahamsen 	Alsgaard 	Alving
Amundsen 	Amundson 	Andersen
Andreassen 	Andresen 	Andsnes
Antonisen 	Antonsen 	Arnesen
Arup 	Åsheim 	Aune
Bakke 	Bakken 	Balle
Baltzersen 	Berg 	Berge
Berntsen 	Birkeland 	Birknes
Bjoenkaer 	Bjoerndalen 	Bjone
Bjordal 	Bjørlo 	Bjornebye
Björnson 	Bjornstad 	Blix
Bø 	Böcklin 	Bøe
Borkman 	Brack 	Brandes
Brat 	Brataas 	Bredesen
Brekke 	Brenden 	Brøgger
Brovik 	Buraas 	Burass
Christensen 	Christiansen 	Daehle
Daehlie 	Dahl 	Dahn
Dahue 	Danielsen 	Dybendahl
Edvardsen 	Eftevang 	Eggen
Eide 	Eliassen 	Elieson
Ellingsen 	Elvsted 	Engen
Enger 	Englund 	Engstrand
Eriksen 	Ertzgard 	Evensen
Fagerberg 	Fagernes 	Falck
Fjærestad 	Fjortoft 	Flemmen
Flo 	Folkow 	Fosli
Franck 	Fredriksen 	Fretheim
Fuglesang 	Fuglestad 	Furuseth
Gabler 	Gabrielsen 	Garborg
Gimle 	Gjeldnes 	Gjelland
Gjessing 	Grønelv 	Grieg
Grimseth 	Grimsmo 	Gritdal
Grodas 	Groenvold 	Guidon
Gulbrandsen 	Gundersen 	Gunderson
Gunnestad 	Gylfason 	Haakonsen
Haarberg 	Haarland 	Haartz
Hagen 	Halskar 	Halvorsen
Hammer 	Hanevold 	Hanke
Hansen 	Hanssen 	Hanstveit
Hartmark 	Hasso 	Hasund
Haug 	Hauge 	Haugen
Haugland 	Haugsrud 	Heiberg
Helgeland 	Helgerod 	Helland
Helmer 	Henriksen 	Herdal
Heyerdahl 	Hoan 	Hoeg
Hoen 	Holm 	Holmann
Holth 	Hopen 	Horn
Hultgreen 	Hustveit 	Ibsen
Ingebriktsson 	Ingstad 	Isaksen
Iversen 	Jørgensen 	Jacobsen
Jagge 	Jakobsen 	Jasperson
Jelesens 	Jensen 	Jenssen
Jevne 	Johannessen 	Johansen
Johnsen 	Juell 	Kaland
Karlan 	Karlsen 	Kase
Kildal 	Kippe 	Kjeldaas
Kjelstrup 	Kjorestad 	Kjørsvik
Kløvstod 	Knudsen 	Knutsen
Koht 	Koss 	Krafft
Kristensen 	Kristiansen 	Kristoffersen
Krogstad 	Kultin 	Kvarme
Landa 	Langslet 	Lanser
Larsen 	Leirfall 	Leonhardsen
Lid 	Lie 	Lien
Lier 	Lind 	Lindahl
Linde 	Listow 	Ljoekelsoey
Loevaas 	Lorch 	Lous
Lövborg 	Ludwigsen 	Lund
Lunde 	Lyen 	Malmros
Malmstrom 	Manders 	Marken
Martinsen 	Mathiesen 	Mathisen
Meling 	Meyer 	Midttun
Mikkelsen 	Mikkelsplass 	Mo
Moen 	Mork 	Mostue
Munch 	Myhre 	Mykland
Myklebust 	Myrland 	Naess
Nanstveit 	Naustvik 	Neilsen
Nerhus 	Nielsen 	Nilsen
Njerve 	Njos 	Noberg
Nore 	Nyberg 	Nygaard
	Oedegaard 	Oesten
Olsen 	Omholt 	Orden
Orthe 	Ostenstad 	Ottesen
Paldan 	Paulsen 	Pedersen
Pederssen 	Pettersen 	Poulsen
Prydz 	Quisling 	RÝ nning
Ramsfeld 	Ramsfjell 	Rank
Rasmussen 	Ratkje 	Rekdal
Resi 	Retter 	Ribur
Riseth 	Rodahl 	Rovlund
Ruud 	SÝ rensen 	Saeterstoel
Saether 	Salvesen 	Sandvik
Schei 	Schjerven 	Schrøder
Schwane 	Schytte 	Selle
Selling 	Selvik 	Sikveland
Simonsen 	Sivertsen 	Sivertson
Sivlee 	Sjo 	Sjøvold
Skarsgaard 	Skarsgard 	Skarsgard
Skavlan 	Skjelbraid 	Skjölsvold
Skovgaard 	Skreien 	Smilla
Solbakken 	Solbakker 	Solberg
Solheim 	Solness 	Solskaer
Sondral 	Stamsø 	Steen
Stensrud 	Stianson 	Stirner
Storelid 	StrÝ m 	Strand
Strandli 	Svåsand 	Svendson
Svenoy 	Syversen 	Tangen
Tangvik 	Tesman 	Thomassen
Thonstad 	Thoresen 	Thorsen
Thue 	Thulesius 	Thune
Thymann 	Tobiassen 	Tonder
Tonsberg 	Torgereen 	Torp
Traa 	Tunold 	Tveit
Ulstein 	Ulving 	Utskjoer
Veitberg 	Vigeland 	Vik
Vind 	Waldum 	Wangel
Wangen 	Wassmo 	Wikborg
Wullum 	Yons 	Ytterhus
Zakariassen
